#Supplementary Table 21: Meta-analysis results for ICD10/ICF subchapter level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICD-10/ICF subchapter,rMZall,rMZM,rMZF,rDZall,rDZSS,rDZM,rDZF,rDOS,SE_MZall,SE_MZM,SE_MZF,SE_DZall,SE_DZSS,SE_DZM,SE_DZF,SE_DOS,AFULL_all,ABEST_all,AFULL_SS,ABEST_SS,AFULL_M,ABEST_M,AFULL_F,ABEST_F,SE_AFULL_all,SE_ABEST_all,SE_AFULL_SS,SE_ABEST_SS,SE_AFULL_M,SE_ABEST_M,SE_AFULL_F,SE_ABEST_F,CFULL_all,CBEST_all,CFULL_SS,CBEST_SS,CFULL_M,CBEST_M,CFULL_F,CBEST_F,SE_CFULL_all,SE_CBEST_all,SE_CFULL_SS,SE_CBEST_SS,SE_CFULL_M,SE_CBEST_M,SE_CFULL_F,SE_CBEST_F,freq_rMZall,freq_rMZM,freq_rMZF,freq_rDZall,freq_rDZSS,freq_rDZM,freq_rDZF,freq_rDOS,freq_AFULL_all,freq_ABEST_all,freq_AFULL_SS,freq_ABEST_SS,freq_AFULL_M,freq_ABEST_M,freq_AFULL_F,freq_ABEST_F,freq_CFULL_all,freq_CBEST_all,freq_CFULL_SS,freq_CBEST_SS,freq_CFULL_M,freq_CBEST_M,freq_CFULL_F,freq_CBEST_F,nMZall,nMZM,nMZF,nDZall,nDZSS,nDZM,nDZF,nDOS,nAFULL_all,nABEST_all,nAFULL_SS,nABEST_SS,nAFULL_M,nABEST_M,nAFULL_F,nABEST_F,nCFULL_all,nCBEST_all,nCFULL_SS,nCBEST_SS,nCFULL_M,nCBEST_M,nCFULL_F,nCBEST_F
Calculus of Kidney and Ureter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,131,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA
Cell Cycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,2,0,0,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,76,NA,28,32,NA,NA,26,NA,NA,108,NA,NA,NA,NA,54,54,NA,108,NA,NA,NA,NA,54,54
Cell Growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerebrovascular Diseases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,147,NA,NA,345,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,NA,NA,492,NA,NA,NA,NA,NA,NA
Chronic Diseases of Tonsils and Adenoids,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,0,0,1,1,1,1,2,2,0,0,1,1,1,1,"3,162","1,354","1,808","5,332","2,762","1,184","1,578","2,570","8,494","8,494",NA,NA,"1,269","1,269","1,693","1,693","8,494","8,494",NA,NA,"1,269","1,269","1,693","1,693"
Community Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,NA,69,458,NA,NA,NA,363,NA,NA,NA,"1,112",NA,"2,721","2,721",821,821,NA,NA,"1,112",NA,"2,721","2,721",821,821
Congenital Deformities of Feet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coxarthrosis [Arthrosis of Hip],NA,NA,0.350,NA,NA,NA,0.157,NA,NA,NA,0.033,NA,NA,NA,0.036,NA,0.332,0.381,NA,NA,NA,NA,NA,0.487,0.121,0.127,NA,NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.011,1,0,4,1,1,0,6,2,5,4,0,0,2,1,2,3,2,1,0,0,2,1,2,3,144,NA,666,507,289,NA,750,450,"68,106","66,864",NA,NA,"7,536","2,361","9,236","8,586","17,958","16,716",NA,NA,"7,536","2,361","9,236","8,586"
Crohn Disease [Regional Enteritis],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,NA,NA,73,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cytomegaloviral Disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,9,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,28,28,NA,NA,NA,NA
Diabetes Mellitus,NA,NA,0.662,NA,NA,NA,0.470,NA,NA,NA,0.053,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA,0.150,NA,NA,NA,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA,0.163,0,1,3,0,0,0,3,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,3,NA,80,120,NA,NA,NA,138,NA,588,NA,NA,NA,NA,"2,508",NA,258,588,NA,NA,NA,NA,"2,508",NA,258
Diabetes Mellitus In Pregnancy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,21,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,30,30,NA,NA,NA,NA,NA,NA,30,30
Disorders of Social Functioning with Onset Specific to Childhood and Adolescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534,0.534,0.692,0.692,0.382,0.382,NA,NA,0.063,0.063,0.039,0.039,0.089,0.089,NA,NA,0.375,0.375,0.224,0.224,0.521,0.521,NA,NA,0.053,0.053,0.038,0.038,0.068,0.068,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,770","13,770","6,711","6,711","7,059","7,059",NA,NA,"13,770","13,770","6,711","6,711","7,059","7,059"
"Disorders Related to Short Gestation and Low Birth Weight, Not Elsewhere Classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,72,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,182,182,NA,NA,NA,NA,NA,NA,182,182
Dorsopathies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.033,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,NA,NA,NA,NA,NA,NA,NA,900,NA,NA
Dyspepsia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,NA,NA,61,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA
Effects of Other External Causes,NA,NA,0.612,NA,NA,NA,0.271,NA,NA,NA,0.019,NA,NA,NA,0.042,NA,NA,NA,NA,NA,NA,NA,NA,0.591,NA,NA,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.011,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,NA,NA,"4,212",NA,NA,NA,"4,368",NA,NA,NA,NA,NA,NA,NA,NA,"8,580",NA,NA,NA,NA,NA,NA,NA,"8,580"
Endometriosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,NA,NA,107,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,66,156,NA,NA,NA,NA,NA,NA,66,156
Essential (Primary) Hypertension,NA,0.544,NA,NA,NA,0.518,NA,NA,NA,0.013,NA,NA,NA,0.092,NA,NA,NA,NA,NA,NA,NA,0.559,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.012,NA,NA,0,5,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,0,NA,"4,394",NA,NA,NA,"3,435",NA,NA,NA,NA,NA,NA,"2,731","7,274",NA,NA,NA,NA,NA,NA,"2,731","7,274",NA,NA
"Excessive, Frequent and Irregular Menstruation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,628,NA,NA,NA,NA,NA,NA,628,628
Expression,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481,0.842,NA,NA,NA,NA,NA,NA,0.063,0.030,NA,NA,NA,NA,NA,NA,0.349,0.062,NA,NA,NA,NA,NA,NA,0.063,0.074,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,7,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA,NA,NA,196,196,NA,NA,NA,NA
Female Genital Prolapse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,17,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,29,29
Fibrosis and Cirrhosis of Liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Findings of Drugs and Other Substances, Not Normally Found In Blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,2,2,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,188,88,100,NA,330,140,190,NA,NA,NA,259,NA,114,NA,145,NA,NA,NA,259,NA,114,NA,145,NA
Formal Relationships,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,124,NA,NA,NA,93,NA,NA,NA,NA,NA,217,217,NA,NA,NA,NA,NA,NA,217,217,NA,NA,NA,NA
Functions of Hair,NA,0.851,0.710,NA,NA,0.347,0.212,NA,NA,0.033,0.116,NA,NA,0.047,0.110,NA,NA,NA,NA,NA,NA,0.843,NA,0.695,NA,NA,NA,NA,NA,0.032,NA,0.124,NA,NA,NA,NA,NA,0.000,NA,0.000,NA,NA,NA,NA,NA,0.041,NA,0.058,0,4,3,0,0,4,3,0,0,0,0,0,0,4,2,3,0,0,0,0,0,4,2,3,NA,264,156,NA,NA,328,150,NA,NA,NA,NA,NA,NA,592,204,306,NA,NA,NA,NA,NA,592,204,306
Functions of the Joints and Bones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,NA,NA,206,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,434,434,NA,NA,NA,NA,NA,NA,434,434
Gender Identity Disorders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,NA,NA
Gestational [Pregnancy-Induced] Hypertension Without Significant Proteinuria,NA,NA,0.362,NA,NA,NA,0.173,NA,NA,NA,0.076,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA,NA,0.045,NA,NA,NA,NA,NA,NA,NA,0.045,NA,0,0,5,0,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,2,NA,NA,164,NA,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,"2,516","2,134",NA,NA,NA,NA,NA,NA,"2,516","2,134"
Glaucoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Global Mental Functions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,192,NA,NA,384,NA,NA,NA,NA,576,NA,NA,NA,NA,NA,NA,NA,576,NA,NA,NA,NA,NA,NA,NA
Gonarthrosis [Arthrosis of Knee],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,651,155,649,591,347,77,613,244,"1,242","1,242",NA,NA,232,NA,766,785,"1,242","1,242",NA,NA,232,NA,766,785
Gout,NA,0.420,NA,NA,NA,0.480,NA,NA,NA,0.029,NA,NA,NA,0.027,NA,NA,NA,NA,NA,NA,0.171,0.171,NA,NA,NA,NA,NA,NA,0.146,0.146,NA,NA,NA,NA,NA,NA,0.341,0.341,NA,NA,NA,NA,NA,NA,0.091,0.091,NA,NA,0,3,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,NA,759,NA,NA,NA,783,NA,NA,NA,NA,NA,NA,"1,953","1,953",NA,NA,NA,NA,NA,NA,"1,953","1,953",NA,NA
Habit and Impulse Disorders,NA,0.586,NA,NA,NA,0.339,NA,NA,NA,0.033,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,0.582,0.519,NA,NA,NA,NA,NA,NA,0.042,0.100,NA,NA,NA,NA,NA,NA,0.000,NA,NA,NA,NA,NA,NA,NA,0.010,NA,NA,2,3,1,2,0,3,1,0,0,2,0,0,0,4,6,1,0,2,0,0,0,4,1,1,828,"5,622",651,318,NA,"4,494",434,NA,NA,"4,736",NA,NA,NA,"10,953","1,255","1,085",NA,"4,736",NA,NA,NA,"10,953","1,085","1,085"
"Haemangioma and Lymphangioma, Any Site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hepatomegaly and Splenomegaly, Not Elsewhere Classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,NA,NA,391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Household Tasks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,NA,107,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,228,228,NA,NA,NA,NA,NA,NA,228,228,NA,NA
Hyperplasia of Prostate,NA,0.588,NA,NA,NA,0.469,NA,NA,NA,0.024,NA,NA,NA,0.061,NA,NA,NA,NA,NA,NA,0.402,NA,NA,NA,NA,NA,NA,NA,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,0,0,6,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,NA,714,NA,NA,NA,510,NA,NA,NA,NA,NA,NA,"1,494",154,NA,NA,NA,NA,NA,NA,NA,154,NA,NA
Hypertrichosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypospadias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,690",NA,NA,NA,NA,NA,NA,NA,"2,690",NA,NA
Infectious Mononucleosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inguinal Hernia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intestinal Malabsorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,NA,NA,NA,68,NA,NA,NA,NA,146,73,NA,NA,NA,NA,NA,NA,146,73,NA,NA,NA,NA,NA,NA
Intracranial Nontraumatic Haemorrhage of Fetus and Newborn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyphosis and Lordosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,NA,NA,71,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA
Leiomyoma of Uterus,NA,NA,0.395,NA,NA,NA,0.213,NA,NA,NA,0.051,NA,NA,NA,0.046,NA,NA,NA,NA,NA,NA,NA,0.440,0.550,NA,NA,NA,NA,NA,NA,0.032,0.051,NA,NA,NA,NA,NA,NA,0.060,0.000,NA,NA,NA,NA,NA,NA,0.041,0.029,0,0,10,0,0,0,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,6,NA,NA,276,NA,NA,NA,431,NA,NA,NA,NA,NA,NA,NA,588,"1,216",NA,NA,NA,NA,NA,NA,588,"1,216"
